ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,State Name [District] 2016-17,Agency Name [District] 2016-17,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 2016-17,Fall Membership (V33) [District Finance] 2016-17
21ST CENTURY CHARTER SCH OF GARY,Indiana,INDIANA,21st Century Charter Sch of Gary,1800046,8386,888
21ST CENTURY CYBER CS,Pennsylvania,PENNSYLVANIA,21st Century Cyber CS,4200091,12425,961
A CENTER FOR CREATIVE EDUCATION (79457),Arizona,ARIZONA,A Center for Creative Education,0400328,7516,64
A E R O  SPEC EDUC COOP,Illinois,ILLINOIS,A E R O  Spec Educ Coop,1700024,†,†
A W BEATTIE CAREER CENTER,Pennsylvania,PENNSYLVANIA,A W Beattie Career Center,4280010,†,†
A W BROWN LEADERSHIP ACADEMY,Texas,TEXAS,A W BROWN-FELLOWSHIP LEADERSHIP ACADEMY,4800095,8110,2278
A+ ACADEMY,Texas,TEXAS,A+ ACADEMY,4800203,9505,1069
A+ ARTS ACADEMY,Ohio,OHIO,A+ Arts Academy,3900305,9277,629
A+ CHILDREN'S ACADEMY,Ohio,OHIO,A+ Children's Academy,3901480,11098,122
A+ UNLIMITED POTENTIAL,TEXAS,TEXAS,A+ UNLIMITED POTENTIAL,4801453,11830,94
A-C CENTRAL CUSD 262,Illinois,ILLINOIS,A-C Central CUSD 262,1700105,12174,453
A. LINWOOD HOLTON GOVERNOR'S SCHOOL,Virginia,VIRGINIA,A. LINWOOD HOLTON GOV SCH,5100033,†,†
A.C.E. ACADEMY,North Carolina,NORTH CAROLINA,A.C.E. Academy,3700372,7044,389
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,A.C.G.C. PUBLIC SCHOOL DISTRICT,2700106,12268,821
A.E. PHILLIPS LABORATORY SCHOOL,Louisiana,LOUISIANA,A.E. Phillips Laboratory School,2200056,†,394
ABBEVILLE 60,South Carolina,SOUTH CAROLINA,Abbeville 60,4500690,10751,3013
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,WISCONSIN,Abbotsford School District,5500030,10834,723
ABBOTT ISD,Texas,TEXAS,ABBOTT ISD,4807380,9137,284
